第1个簇：
1.(2, 0.130043, -1.52221, -0.493979, -0.343566, -0.506116, -0.263787, -0.173765, -0.608772, )
2.(5, -0.215567, -1.35119, -0.524664, -0.188772, -0.224764, -0.332939, -0.170878, -0.635252, )
3.(20, 0.192744, -1.26636, -0.4174, -0.333912, -0.485934, -0.248056, -0.115947, -0.487221, )
4.(26, 0.154066, -1.27715, -0.150344, -0.085275, -0.401338, 0.177272, -0.352458, -0.311308, )
5.(29, -0.0987923, -1.77424, -0.233249, -0.000210306, -0.346061, 0.189303, -0.503662, -0.511077, )
6.(30, -0.1034, -0.738331, -0.50828, 0.326659, -0.439122, -0.639945, -0.653763, -0.591445, )
7.(32, -0.221934, -0.599561, -0.716575, -0.363325, -0.125069, -0.820011, 0.230255, -0.600225, )
8.(41, -0.281853, -1.59397, -0.429794, -0.0789092, -0.218219, -0.141757, -0.317975, -0.627231, )
9.(53, 1.0469, -1.61873, -2.01276, -1.14704, -0.541136, -1.31621, -0.958314, -0.0948718, )
10.(54, 1.27835, -0.697329, -0.731577, -0.481049, -0.782584, -0.574855, -1.19392, -0.569018, )
11.(56, 0.204341, -1.77478, -0.311566, -0.208144, -0.554249, 0.0885719, -0.37737, -0.50954, )
12.(74, -0.744357, -1.26482, -0.498708, -0.232733, -0.157108, -0.683574, 0.501006, -1.15495, )
13.(80, 0.703241, -1.31292, -0.812183, -0.84962, -0.915653, -0.770388, 0.229248, -0.659574, )
14.(86, 0.634086, -1.8945, -0.828705, -0.542126, -0.619631, -0.178395, -0.728887, -0.208742, )
15.(89, 0.686623, -1.15486, -0.0522572, -0.270113, -0.730278, 0.241792, -0.251875, -0.113732, )
16.(95, -0.0425011, -1.7156, -0.211719, -0.0271944, -0.353173, 0.232614, -0.46828, -0.475075, )
17.(96, -0.0756871, -0.167833, -0.12459, 0.00595883, 0.0040703, -0.105981, 0.00513631, -0.0289185, )
18.(98, -0.309996, -2.15111, -0.41375, -0.0230795, -0.303184, 0.0760516, -0.544115, -0.72217, )
19.(104, 0.447821, -0.948482, -0.217564, -0.30542, -0.553827, -0.0418913, -0.0931593, -0.256356, )
20.(107, 0.907691, -1.26857, -0.240649, -0.533536, -0.930462, 0.00583343, -0.103057, -0.251464, )
21.(108, -0.390006, -0.640386, -0.208864, 0.0899366, -0.229156, -0.327886, 0.283647, -0.264259, )
22.(122, 0.302621, -0.627044, -0.491072, -0.480083, -0.449575, -0.530176, 0.16688, -0.388668, )
23.(125, 0.0654536, -1.45968, -0.591661, -0.366471, -0.465547, -0.386422, -0.102909, -0.661908, )
24.(134, -0.398707, -0.505148, -0.308948, -0.0132202, 0.104005, -0.265155, -0.0332672, -0.365258, )
25.(153, -0.243277, -0.534601, -0.36058, 0.054822, -0.111844, -0.354537, -0.0853728, -0.170055, )
26.(158, -0.104327, -1.73286, -0.347508, -0.0823544, -0.344181, 0.0327978, -0.398767, -0.5659, )
27.(162, -0.104937, -0.617192, -0.388576, 0.27527, -0.360502, -0.530599, -0.533125, -0.492288, )
28.(164, -0.339199, -1.58643, -0.416128, -0.0451391, -0.1687, -0.100074, -0.356075, -0.619968, )
29.(172, 0.584935, -2.29731, -0.0158032, -0.410183, -0.739907, -0.809439, 0.00474565, 0.067512, )
30.(174, -0.305464, -0.554716, -0.257514, 0.0670867, -0.167041, -0.304206, 0.142463, -0.220036, )
31.(185, -0.128971, -1.71165, -1.42317, -0.869573, -0.572641, -1.50357, 0.332671, -1.28438, )
32.(198, -0.0573704, -0.436923, -0.0232635, 0.285733, -0.49766, -0.308451, -0.239467, -0.555482, )
33.(200, 0.684184, -1.04421, -0.484665, -0.611492, -0.800147, -0.395834, 0.104753, -0.395286, )
34.(202, -0.441705, -0.247267, -0.253877, -0.363154, 0.0841581, -0.393773, -0.0152946, -0.126278, )
35.(203, 0.564802, -1.80479, -0.402164, -0.440865, -0.85117, -0.0716485, -0.241293, -0.513419, )
36.(212, 0.648444, -1.51085, -0.391533, -0.509854, -0.860311, -0.139968, -0.137044, -0.451932, )
37.(218, -0.806272, -1.38983, -0.403133, 0.21172, 0.216508, -0.0937926, -0.38068, -0.622346, )
第2个簇：
1.(17, 0.978312, 0.765838, -0.140453, -0.644413, -0.579502, -0.506636, 0.592482, 0.180021, )
2.(34, 1.43274, 1.53029, -1.0281, 1.12945, -0.911234, -0.771492, 2.66937, -0.923762, )
3.(36, -0.665268, 1.81456, -1.28572, -0.0117301, 0.728045, -2.06537, -0.0312446, -0.337674, )
4.(37, 0.874813, 1.59992, -0.940831, 0.711589, -0.542773, -0.265076, 1.66654, -0.890056, )
5.(44, -2.25467, 1.18797, -1.88979, -0.332027, 1.45638, -2.86705, 1.1912, -1.35731, )
6.(46, 0.960132, 0.0115482, -0.467089, 0.888918, -0.662047, -0.785357, 1.48819, -0.313722, )
7.(50, -1.34209, 2.24312, -0.948401, -0.17663, 0.938482, -2.23456, 1.35766, -0.793736, )
8.(58, 0.52562, -0.192591, 0.157647, 0.288803, -0.348706, -0.551156, 1.13576, 0.111625, )
9.(63, -1.35845, 2.47706, -0.921851, -0.255328, 1.05846, -2.06223, 1.71567, -0.0575433, )
10.(73, 0.901935, 1.60989, -0.909085, 0.743948, -0.552023, -0.213865, 1.66674, -0.879923, )
11.(85, 1.02441, 1.32112, -0.0762191, 1.23981, -0.219335, -0.160364, -0.158642, 0.831469, )
12.(91, 0.125463, 0.909569, -0.365357, 0.0681311, -0.0445049, 0.19009, 0.282497, -0.39002, )
13.(121, 0.534605, -0.287919, -0.601654, 0.817039, -0.449802, -0.414274, 0.322267, -0.312263, )
14.(127, 1.03556, 2.59268, -1.74679, 1.12382, -0.684341, 0.0373076, 1.594, -1.52778, )
15.(130, 0.131094, 0.756216, -1.16328, 0.658134, -0.191037, 0.324827, -0.559062, -0.836012, )
16.(139, 0.956736, 2.76833, -2.36006, 1.43134, -0.711084, 0.301999, 0.865406, -1.92642, )
17.(145, 0.841189, 0.311074, -0.746382, 0.918825, -0.600061, -0.532004, 1.13559, -0.491153, )
18.(148, 1.00204, 1.32692, -0.684999, 0.695512, -0.593711, -0.477954, 2.03901, -0.675145, )
19.(154, 1.47346, 1.37212, -1.58781, 1.60417, -1.04355, -0.696861, 2.08862, -1.25892, )
20.(178, 0.484852, -0.123534, -0.389941, 0.583135, -0.35893, -0.383863, 0.532058, -0.2122, )
21.(182, -0.400952, 1.37983, -1.32959, -0.876289, 0.276561, -2.28519, 1.3137, -0.702265, )
22.(190, 0.108219, 2.19179, -2.37895, 1.079, -0.226618, 0.942567, -1.17806, -1.80489, )
23.(199, 0.100711, 0.970852, -0.417025, 0.0744941, -0.0286736, 0.224673, 0.224793, -0.416555, )
24.(205, 1.2457, 0.581585, -0.95788, 1.21177, -0.875988, -0.828784, 1.91684, -0.73634, )
25.(211, 0.352769, 0.272539, 0.185422, 0.0122623, -0.180743, -0.321062, 1.0808, 0.057901, )
26.(229, 0.699105, 0.675994, -0.609584, 0.633402, -0.48339, -0.377657, 1.19672, -0.498441, )
第3个簇：
1.(19, 0.224685, -2.26157, 0.504439, 0.394763, -0.263797, -0.813179, -0.101197, 0.685349, )
2.(22, -0.266735, -0.201119, 0.570711, -0.462022, 0.207571, 0.0414373, -0.0330819, 0.366651, )
3.(25, -0.262131, -1.58188, 0.366547, 0.00698668, 0.103177, -0.178821, -0.996439, 0.506076, )
